id;fecha;tipo;distancia_km;duracion_min;calorias;fuente;nombre;estado
313;2023-02-18T10:07:59;Caminata;4.87;110.2;359.0;Apple;Caminata [Est];REPARADO (Estimado)
314;2023-02-07T19:49:44;Caminata;1.72;38.9;126.0;Apple;Caminata [Est];REPARADO (Estimado)
315;2023-02-05T19:44:25;Caminata;1.44;32.5;105.0;Apple;Caminata [Est];REPARADO (Estimado)
316;2023-02-04T20:17:46;Caminata;2.21;50.0;162.0;Apple;Caminata [Est];REPARADO (Estimado)
317;2023-02-03T18:32:58;Caminata;2.56;57.9;188.0;Apple;Caminata [Est];REPARADO (Estimado)
318;2023-01-27T20:04:59;Caminata;2.73;61.8;201.0;Apple;Caminata [Est];REPARADO (Estimado)
319;2023-01-24T20:17:59;Caminata;0.78;17.7;57.0;Apple;Caminata [Est];REPARADO (Estimado)
320;2023-01-24T19:55:03;Caminata;2.75;62.1;202.0;Apple;Caminata [Est];REPARADO (Estimado)
321;2023-01-22T19:53:53;Caminata;2.03;46.0;149.0;Apple;Caminata [Est];REPARADO (Estimado)
322;2023-01-21T19:56:22;Caminata;2.53;57.1;186.0;Apple;Caminata [Est];REPARADO (Estimado)
323;2023-01-14T20:04:49;Caminata;2.09;47.2;153.0;Apple;Caminata [Est];REPARADO (Estimado)
324;2023-01-13T17:35:46;Caminata;1.76;39.8;129.0;Apple;Caminata [Est];REPARADO (Estimado)
325;2023-01-13T14:05:17;Caminata;1.33;30.1;98.0;Apple;Caminata [Est];REPARADO (Estimado)
326;2023-01-12T18:12:19;Caminata;3.48;78.7;256.0;Apple;Caminata [Est];REPARADO (Estimado)
327;2023-01-12T18:11:41;Caminata;2.49;56.3;183.0;Apple;Caminata [Est];REPARADO (Estimado)
328;2023-01-08T19:48:17;Caminata;1.9;43.0;140.0;Apple;Caminata [Est];REPARADO (Estimado)
329;2023-01-08T19:47:14;Caminata;1.87;42.3;137.0;Apple;Caminata [Est];REPARADO (Estimado)
330;2023-01-07T18:46:29;Caminata;3.09;69.9;227.0;Apple;Caminata [Est];REPARADO (Estimado)
331;2023-01-02T19:47:21;Caminata;2.57;58.2;189.0;Apple;Caminata [Est];REPARADO (Estimado)
332;2022-12-29T18:12:27;Caminata;0.88;19.8;64.0;Apple;Caminata [Est];REPARADO (Estimado)
333;2022-12-29T17:32:17;Caminata;0.95;21.4;69.0;Apple;Caminata [Est];REPARADO (Estimado)
334;2022-12-29T17:31:14;Caminata;1.74;39.4;128.0;Apple;Caminata [Est];REPARADO (Estimado)
335;2022-12-28T19:05:18;Caminata;1.43;32.3;105.0;Apple;Caminata [Est];REPARADO (Estimado)
336;2022-12-25T18:55:22;Caminata;2.76;62.4;203.0;Apple;Caminata [Est];REPARADO (Estimado)
337;2022-12-17T21:47:21;Other;5.2;41.6;332.0;Apple;Other [Est];REPARADO (Estimado)
338;2022-12-16T19:25:15;Caminata;1.73;39.1;127.0;Apple;Caminata [Est];REPARADO (Estimado)
339;2022-12-15T19:28:01;Caminata;3.67;82.9;270.0;Apple;Caminata [Est];REPARADO (Estimado)
340;2022-12-14T19:26:45;Caminata;2.49;56.3;183.0;Apple;Caminata [Est];REPARADO (Estimado)
341;2022-12-13T20:53:55;Caminata;0.07;1.6;5.0;Apple;Caminata [Est];REPARADO (Estimado)
342;2022-12-13T18:27:26;Caminata;2.67;60.3;196.0;Apple;Caminata [Est];REPARADO (Estimado)
343;2022-12-06T17:11:50;Caminata;0.09;2.1;6.0;Apple;Caminata [Est];REPARADO (Estimado)
